translator_id;language_id
Q14624853;Q150
Q18197843;Q150
Q15072522;Q7737
Q3156735;Q150
Q3156735;Q7737
Q1294115;Q150
Q1294115;Q6654
Q12022556;Q9056
Q152513;Q652
Q152513;Q1860
Q152513;Q1321
Q4391279;Q7737
Q71467;Q188
Q59188;Q1860
Q3616238;Q7026
Q3037160;Q1860
Q16598134;Q1321
Q18197319;Q150
Q6251314;Q1321
Q6251314;Q1860
Q332780;Q36395
Q332780;Q397
Q473257;Q7913
Q64395;Q188
Q18117918;Q150
Q18117918;Q1860
Q2834417;Q150
Q2712746;Q1860
Q16964476;Q150
Q16964476;Q1860
Q5659344;Q1860
Q9251137;Q809
Q9066286;Q7026
Q9066286;Q1321
Q14624850;Q150
Q566194;Q188
Q334973;Q9240
Q334973;Q150
Q584292;Q150
Q584292;Q1321
Q286107;Q150
Q1903409;Q188
Q203952;Q150
Q44248;Q397
