edition_id;translator_id
Q14624872;Q14624870
Q21191066;Q15072522
Q21190973;Q3616238
Q49611178;Q584292
Q14624843;Q14624850
Q14624843;Q14624853
Q21191003;Q334973
Q19128930;Q18036076
Q19178937;Q203952
Q41526857;Q18117918
Q21191064;Q473257
Q16029876;Q16029878
Q19523683;Q12022556
Q23296487;Q18197319
Q131175;Q44248
Q40579550;Q3156735
Q40579550;Q18197843
Q1219621;Q22695858
Q23296854;Q23296908
Q14624877;Q9066286
Q21190964;Q15631816
Q19525492;Q10429320
Q7744922;Q2712746
Q47011189;Q16598134
Q20165852;Q1294115
Q19183110;Q2834417
Q3237327;Q332780
Q14624888;Q14624887
Q15987824;Q1903409
Q43796635;Q59188
Q14624815;Q14624816
Q39829696;Q3037160
Q14624941;Q566194
Q24073728;Q4391279
Q1786390;Q1019741
Q21191070;Q17778060
Q47883393;Q286107
Q47882807;Q286107
Q19183108;Q334973
Q47883812;Q5659344
Q49612156;Q6251314
Q21190993;Q152513
Q21190966;Q1040724
Q15996608;Q71467
Q40578896;Q16964476
Q21161675;Q64395
Q21191058;Q9251137
