human_id;occupation
Q241248;writer
Q241248;novelist
Q241248;screenwriter
Q241248;essayist
Q241248;journalist
Q9711;novelist
Q9711;literary critic
Q49081;journalist
Q49081;writer
Q49081;essayist
Q49081;autobiographer
Q49081;literary critic
Q49081;political scientist
Q46248;writer
Q46248;novelist
Q46248;journalist
Q46248;screenwriter
Q46248;science fiction writer
Q46248;children's writer
Q46248;author
Q991;translator
Q991;poet
Q991;novelist
Q991;essayist
Q991;short story writer
Q991;journalist
Q991;philosopher
Q991;biographer
Q991;engineer
Q991;writer
Q1035;naturalist
Q1035;geologist
Q1035;explorer
Q1035;travel writer
Q1035;ethologist
Q1035;entomologist
Q180903;writer
Q180903;poet
Q180903;novelist
Q180903;university teacher
Q50039;journalist
Q50039;media historian
Q39829;writer
Q39829;television producer
Q39829;actor
Q39829;musician
Q6969361;historian
Q13230;linguist
Q13230;pedagogue
Q13230;university teacher
Q13230;sociologist
Q13230;philosopher
Q13230;phonologist
Q170596;anthropologist
Q170596;archaeologist
Q170596;autobiographer
Q170596;writer
Q170596;military officer
Q170596;screenwriter
Q170596;translator
Q170596;castellologist
Q43459;poet
Q43459;writer
Q102513;writer
Q102513;novelist
Q102513;poet
Q102513;children's writer
Q102513;short story writer
Q105118;writer
Q105118;screenwriter
Q105118;novelist
Q105118;playwright
Q105118;film director
Q105118;actor
Q105118;television producer
Q18430;economist
Q18430;university teacher
Q18430;science writer
Q18430;non-fiction writer
Q18430;professor
Q18430;critic
Q18430;writer
Q18430;scientist
Q4583;diarist
Q240576;writer
Q240576;politician
Q240576;journalist
Q240576;children's writer
Q240576;poet
Q34660;film producer
Q34660;writer
Q34660;novelist
Q34660;teacher
Q34660;children's writer
Q34660;screenwriter
Q34660;author
Q34660;prose
Q34660;executive producer
Q23434;war correspondent
Q23434;screenwriter
Q23434;writer
Q23434;novelist
Q23434;journalist
Q23434;autobiographer
Q23434;playwright
Q23434;artist
Q42;playwright
Q42;screenwriter
Q42;novelist
Q42;children's writer
Q42;science fiction writer
Q42;comedian
Q42;dramaturge
Q71501;librarian
Q71501;writer
Q71501;archivist
Q71501;historian
Q584990;physician
Q584990;writer
Q584990;Encyclopédistes
Q584990;philosopher
Q1167679;historian
Q1167679;university teacher
Q1167679;writer
Q274848;mathematician
Q210059;beekeeper
Q210059;comics writer
Q210059;novelist
Q210059;journalist
Q210059;blogger
Q210059;screenwriter
Q210059;film producer
Q210059;actor
Q210059;writer
Q210059;science fiction writer
Q210059;author
Q1064;writer
Q1064;poet
Q1064;politician
Q1064;novelist
Q6882;poet
Q6882;playwright
Q6882;novelist
Q6882;teacher
Q6882;author
Q34474;writer
Q34474;historian
Q34474;novelist
Q34474;screenwriter
Q34474;playwright
Q34474;poet
Q34474;public figure
Q79759;writer
Q79759;poet
Q79759;politician
Q163118;translator
Q163118;poet
Q163118;novelist
Q163118;essayist
Q163118;university teacher
Q163118;writer
Q11471103;novelist
Q47484;journalist
Q47484;film producer
Q47484;essayist
Q47484;playwright
Q47484;novelist
Q47484;diarist
Q47484;travel writer
Q47484;translator
Q47484;autobiographer
Q47484;writer
Q1357338;anthropologist
Q1357338;archaeologist
Q1357338;historian
Q180589;journalist
Q180589;politician
Q180589;editor
Q180589;writer
Q180589;historian
Q9215;neurologist
Q9215;psychoanalyst
Q295431;writer
Q295431;translator
Q295431;novelist
Q295431;essayist
Q295431;literary critic
Q295431;science fiction writer
Q237555;novelist
Q237555;writer
Q909;translator
Q909;poet
Q909;linguist
Q909;librarian
Q909;literary critic
Q909;screenwriter
Q909;essayist
Q909;short story writer
Q909;science fiction writer
Q909;novelist
Q909;lyricist
Q909;writer
Q720306;writer
Q249197;writer
Q249197;novelist
Q249197;aviator
Q249197;foreign correspondent
Q249197;spy
Q249197;screenwriter
Q249197;journalist
Q134798;linguist
Q134798;novelist
Q134798;writer
Q134798;translator
Q134798;essayist
Q134798;athletics competitor
Q134798;university teacher
Q134798;science fiction writer
Q35064;playwright
Q35064;nurse
Q35064;writer
Q35064;novelist
Q35064;screenwriter
Q35064;prose
Q35064;dramaturge
Q76;politician
Q76;lawyer
Q76;political writer
Q76;community organizer
Q76;statesperson
Q42831;writer
Q42831;poet
Q42831;playwright
Q42831;novelist
Q42831;translator
Q42831;prosaist
Q42831;dramaturge
Q1512;poet
Q1512;essayist
Q1512;novelist
Q1512;short story writer
Q1512;children's writer
Q1512;writer
Q37731;politician
Q4731;writer
Q4731;novelist
Q4731;poet lawyer
Q861482;writer
Q861482;novelist
Q861482;science fiction writer
Q182874;writer
Q182874;poet
Q182874;painter
Q182874;novelist
Q182874;ci lyric writer
Q37151;writer
Q37151;philosopher
Q37151;military personnel
Q9038;mathematician
Q9038;astronomer
Q9038;geographer
Q9038;philosopher
Q9038;translator
Q9038;astrologer
Q9038;historian
Q726264;anthropologist
Q726264;archaeologist
Q726264;pedagogue
Q726264;university teacher
Q311145;writer
Q311145;linguist
Q311145;poet
Q311145;journalist
Q311145;novelist
Q311145;translator
Q311145;playwright
Q311145;literary critic
Q82778;writer
Q82778;historian
Q82778;lawyer
Q82778;naturalist
Q1067;politician
Q1067;philosopher
Q1067;political theorist
Q1067;lyricist
Q1067;prosaist
Q1067;intellectual
Q1067;poet
Q924927;journalist
Q924927;writer
Q170509;writer
Q170509;novelist
Q170509;screenwriter
Q170509;playwright
Q170509;poet lawyer
Q170509;literary critic
Q1348862;writer
Q1348862;historian
Q1348862;science fiction writer
Q4671;writer
Q365955;writer
Q365955;playwright
Q365955;painter
Q365955;screenwriter
Q905;novelist
Q905;fabulist
Q905;short story writer
Q905;aphorist
Q905;diarist
Q905;translator
Q905;lawyer
Q905;screenwriter
Q905;poet lawyer
Q905;claims adjuster
Q905;writer
Q5816;politician
Q5816;poet
Q5816;writer
Q5816;philosopher
Q233956;writer
Q233956;poet
Q233956;novelist
Q233956;playwright
Q233956;editor
Q233956;screenwriter
Q233956;literary critic
Q28170;comedian
Q28170;voice actor
Q28170;screenwriter
Q28170;writer
Q28170;television actor
Q228624;writer
Q228624;novelist
Q228624;screenwriter
Q228624;science fiction writer
Q228624;children's writer
Q9458;merchant
Q9458;politician
Q9458;prophet
Q9458;rasul
Q9458;preacher
Q40479;writer
Q40479;linguist
Q40479;novelist
Q40479;science fiction writer
Q40479;translator
Q181677;screenwriter
Q181677;writer
Q181677;television producer
Q181677;novelist
Q181677;playwright
Q181677;blogger
Q181677;science fiction writer
Q329937;mathematician
Q528826;screenwriter
Q528826;sculptor
Q528826;novelist
Q528826;playwright
Q528826;translator
Q528826;writer
Q82104;journalist
Q82104;writer
Q82104;novelist
Q82104;screenwriter
Q81731;lady-in-waiting
Q81731;novelist
Q81731;poet
Q81731;writer
Q81731;diarist
Q62892;physician
Q62892;physician writer
Q62892;novelist
Q62892;screenwriter
Q1392021;writer
Q1392021;journalist
Q1392021;novelist
Q967307;historian
Q967307;biographer
Q153232;philosopher
Q153232;mathematician
Q153232;physicist
Q153232;musicologist
Q153232;translator
Q153232;writer
Q153232;music theorist
Q153232;Encyclopédistes
Q153232;engineer
Q81685;writer
Q81685;journalist
Q81685;poet
Q81685;novelist
Q81685;playwright
Q81685;screenwriter
Q81685;literary critic
Q310379;writer
Q310379;screenwriter
Q310379;novelist
Q310379;children's writer
Q6074970;writer
Q506120;historian
