book_id;author_id
Q25435;Q6969361
Q25435;Q506120
Q6507;Q6882
Q31285;Q81685
Q36097;Q905
Q29399;Q62892
Q23163;Q1348862
Q31179;Q233956
Q38793;Q163118
Q24402;Q9711
Q442;Q82778
Q11829;Q2793
Q26193;Q924927
Q721;Q42
Q480;Q5682
Q26085;Q249197
Q31137;Q311145
Q25555;Q50039
Q8563;Q449085
Q28172;Q28170
Q31720;Q241248
Q27463;Q47484
Q28491;Q1064
Q29270;Q1043
Q27544;Q235291
Q27544;Q967307
Q31692;Q6074970
Q18725;Q861482
Q2222;Q102513
Q24555;Q329937
Q24555;Q274848
Q40354;Q228624
Q28306;Q181677
Q8269;Q81731
Q8369;Q9038
Q4710;Q210059
Q470;Q42511
Q27466;Q18430
Q13911;Q310379
Q26541;Q82104
Q13231;Q13230
Q39961;Q909
Q28754;Q79759
Q24596;Q49081
Q4795;Q4731
Q25091;Q11471103
Q11191;Q37230
Q4804;Q720306
Q35690;Q180903
Q428;Q81989
Q428;Q9458
Q428;Q37731
Q10202;Q1512
Q30613;Q105118
Q447;Q448
Q447;Q153232
Q447;Q584990
Q4672;Q4671
Q27451;Q134798
Q2870;Q173540
Q30925;Q310800
Q13912;Q314771
Q4791;Q528826
Q25666;Q299015
Q29132;Q35064
Q32136;Q46248
Q11336;Q240576
Q8265;Q182874
Q38213;Q732338
Q11678;Q228624
Q38564;Q562163
Q36393;Q5816
Q27592;Q9215
Q27331;Q170509
Q38190;Q1392021
Q25551;Q39829
Q27775;Q991
Q4784;Q295431
Q27462;Q47484
Q24323;Q170596
Q23172;Q71501
Q38187;Q237555
Q26505;Q23434
Q40185;Q1067
Q31385;Q76
Q27352;Q1167679
Q27453;Q726264
Q27453;Q1357338
Q29424;Q42831
Q6911;Q4583
Q8650;Q365955
Q20124;Q1035
Q8279;Q43459
Q5825;Q180589
Q33787;Q193111
Q25750;Q34660
Q40205;Q40479
Q8251;Q37151
Q6511;Q6882
Q32594;Q905
Q27321;Q34474
